force,intelligence,agilite,chance,experience,niveau_quete,equipement,fatigue,survie
63.942679845788376,2.5010755222666936,27.502931836911927,22.321073814882276,14.729424283280249,9.0,8.693883262941615,42.192181968527045,0
2.9797219438070344,21.863797480360336,50.53552881033624,2.6535969683863625,3.97675301373297,9.0,41.95198209616587,44.92090462838536,0
27.819070823066273,86.9300320792934,75.88073671297673,15.965931637689012,8.45228796307005,5.0,15.547949981178155,95.72130722067811,1
33.65945451126267,9.27458433801479,9.6716376833464,84.74943663474598,12.074520627337822,1.0,72.9731786693818,53.62280914547007,1
97.31157639793706,37.853437720835345,55.2040631273227,82.94046642529949,12.370395047284921,6.0,57.735214525676206,70.45718362149235,0
4.5824383655662215,22.789827565154685,28.938796360210716,7.9791976923627495,4.655817727220604,2.0,38.01262250391662,45.34103023684355,0
83.41104266407503,16.26540971560848,35.52707002275215,67.01751743776934,14.036406269171026,2.0,60.913100566698816,17.1138648198097,0
72.91267979503492,16.34024937619284,37.94554417576478,98.95233506365952,12.799995197081858,9.0,21.961517397026896,32.428273441532184,0
76.83135775923722,5.593794754928394,82.18025940068084,80.50458007712143,8.023295740446578,2.0,21.098284358632647,94.29097143350545,0
87.63676264726689,31.467788079847793,65.543866529488,39.56319010606643,18.29095179481087,8.0,14.287159044206266,13.963031952550631,0
74.49889820916066,53.89772896672904,74.70138116522578,42.84338272945797,11.670658498913124,6.0,21.932075915728333,99.75376064951102,0
50.95262936764645,9.090941217379388,4.711637542473457,10.964913035065916,12.5489208340618,7.0,59.64090307319738,38.476731167450005,0
59.58884283611281,46.804988778467724,25.14141199818132,55.32258962152875,18.848617227596197,2.0,68.17103690265748,53.69703304087952,1
26.682518995254277,64.0961798579808,11.155217359587644,43.4765250669105,9.074474126584128,5.0,97.18880988701143,76.19621990520646,1
50.76816746043252,10.641082279770497,62.53001935664175,84.16693481724671,10.153257639552685,4.0,15.28392685496348,76.25108000751513,1
53.937903011962575,77.86264786305583,53.035367219517745,0.05718961279435053,6.483121140093462,1.0,11.186772532089506,36.298076718093355,1
98.53213789438122,80.67748047971287,23.945231033805882,24.08715924472331,11.3471388737782,2.0,8.565345206787878,48.59904633166138,0
6.921251846838361,76.06021652572316,76.58344293069878,12.83914644997628,9.505647561974627,9.0,16.512695897412765,52.7673787418254,1
60.65939174826289,96.43629060074552,92.89134930021768,75.52651966358054,13.797352641992429,5.0,39.899229999742914,67.16869596382831,1
